---
African Rap
go hard, mo'gunz
jollof on the jet, dj cuppy rema
find a bae, kizz daniel
fvck you, kizz daniel
already, beyonce shatta wale
faith, skip marley
comma, burna boy
konnect, maleek berry
monsters you made, chris martin burna boy
little longer, limoblaze melvillous
time flies, burna boy sauti sol
no fit vex, burna boy
save my life, tiwa savage
pressure, koffee
tuale, seyi shay ycee zlatan
way too big, burna boy
alarm clock, burna boy
run away, l.a.x
ginger me, rema
no stress, wizkid
ewallet, kiddominat
koroba, tiwa savage
okay, adekunle gold
labalaba, seyi shay dj cuppy
dangerous love, tiwa savage
shade, fireboy
feel good, dj cuppy fireboy
remember me, fireboy
champ, fireboy d smoke
spell, fireboy wande coal
vex, wande coal
fantasy, niniola
designer, ninola sarz
away, limoblaze
ode lo like, wande coal
slow burn, larry gaga
story, greatman takit
night day, niniola nonso amadi
innocent fagbo, niniola
celia's song, tiwa savage
lonely, joeboy
onyeka baby, burna boy
omo olomo, wizkid reekado banks
20 10 20, burna boy
mighty wine, wizkid
essence, wizkid tems
reckless, wizkid
ginger, burna boy
based on what, ceeza milli
longtime, wizkid skepta
hypnotise, nonso amadi rowlene
gyrate, wizkid
heaven, davido
bbc, blaqbonez
i got a friend, davido
the best, davido mayorkun
tatashe, crayon dj spinall
jowo, davido
something fishy, davido
pure water, dj spinall wurld
loading, olamide bad boy timz
okay, limoblaze ada ehi
eli, fireboy
godly, omah lay
anitdote, nao adekunle gold
love like this, lil kesh
southy love, peruzzi
if you no love, chike mayorkun
cool me down, wikid dj tunez
celebration, joeboy
melo, liya
hallelu, masterkraft zlatan
weekend, yemi alade estelle
true love, yemi alade
go low, l.a.x
jara, l.a.x
currently, falz olamide
wonder, s.o
loved by you, justin bieber burna boy
doubting thomas, davido larry gaaga
your body, mayorkun
operator, yung l
felony, ckay
kiss me like you miss me, ckay
peace of mind, rema
la vida, pheelz
e be tinz, dremo mayorkun
jackpot, crayon bella shmurda
on, teni
kilometre, burna boy
bounce, rema
saudi arabia, mr eazi
can't let you go, stefflon don tiwa savage
the don, mr eazi
too correct, crayon rema
fade away, limoblaze dena mwana
music messiah, wande coal dj neptune
other side, s.o tbabz
call me baby, cheque
peru, fireboy
everything, limoblaze calledout music
yawa, king perryy
woman, doja cat
flying high, angelique kidjo
outside, bnxn
peaches masterkraft remix, justin bieber omah lay
too sweet, niniola
ike, yemi alade
bloddy samaritan, ayra starr
selense, the cavemen
yaba bulu, burna boy dj tarico
fire, yemi alade
monalisa, sarz lojay
question, don jazzy burna boy
kinda love, s.o
anoti, wizkid
essence, wizkid tems justin bieber
mood, buju wizkid
come closer, wizkid drake
somebody's son, tiwa savage brandy
holiday, rema
unavailable, davido
away, davido
kante, davido
no competition, davido
lcnd, davido
2:30, asake
sability, ayra starr
kpe paso, wande coal olamide
monalisa remix, lojay chris brown
soweto remix, victony rema
---
Afrobeats Low
in the light stripped version, johnny drille ayra starr
blessings remix, fridayy asake
recognize, omah lay
shugah, angeloh greatman takit
home, johnny drille the cavemen
journey of our lives, johnny drille
alle, mavins
losing you, mavins
alone, burna boy
coming back for you, fireboy
skinny girl anthem, ayra starr
bonjour, rico maz stevejazz
come close, ckay ayra starr
i'm a mess stripped, omah lay
odo, johnny drill loud music
fye, adekunle gold stefflon don
sleep, adekunle gold
ocean, asa
nike, asa
show me off, asa
good times, asa the cavemen
believer, asa
love you better, praiz
love don't cost a dime re-up, magixx ayra starr
attention, omah lay justin bieber
sad tonight, wurld
naked rain, wurld
aya jo, praiz
hold me, rema 6lack
runaway, rema
for days, bnxn
love & life, basketmouth johnny drille mi abaga
inna da yard, rico maz kingxn
stars, ayra starr
never alone, wurld
stand strong, davido
loyal, simi fave
easy, simi deja
nazarene, anendlessocean
alakori, anendlessocean waje
different, nonso amadi majid jordan
rosalia, dice ailes kaydy cain
call me everyday, chris brown wizkid
for my hand, burna boy ed sheeran
sunflower, falz tiwa savage
solid, burna boy blxst
wild dreams, burna boy khalid
how bad could it be, burna boy
i, omah lay
i'm a mess, omah lay
temptations, omah lay
never forget, omah lay
purple song, omah lay
reason, asake russ
pour me a drink, chike
in my mind, bnxn
dangerous, cheque ayra starr
driving in the rain, johnny drille ladipoe
before i let go, johnny drille
in the light, johnny drille ayra starr
clocks, johnny drille
lost in the rhythm, johnny drille
my kind of brown, johnny drille
solid, anendlessocean
replay, tems
fura sara, brymo
akoko, brymo
meji meji, brymo
okunkun, brymo
aleluya meje, brymo
motivate yourself, magixx
love don't cost a dime, magixx
like a movie, magixx
gratitude, magixx
*** somebody's son, greatman takit
my ways, ycee
vacation, rico maz
long live the queen, nonso amadi
*** love like this, monlee mane
*** because of you masterkraft cover, monlee mane
*** wait for me johnny drille cover, monlee mane
we plenti, cohbams asquo simi
ire, adekunle gold
tonight, nonso amadi
suicidal, nonso amadi ibk
sade, adekunle gold
never far away, lagbaja
love don't care, simi
ponmile, reminisce
kuliko jana acapella remix, sauti sol
devil in california, burna boy
smile for me, simi
war, nonso amadi odunsi
take me back, simi
wait for me, johnny drille
joy, wizkid
like, reekado banks tiwa savage
there is a god, adekunle gold
hallelujah, burna boy
*** beautiful people chike cover, monlee mane
emergency, nonso amadi
trobul, sarz wurld
papa, johnny drille
tipsy, odunsi
gum body, burna boy jorja smith
doyin, mr eazi simi
vibing interlude, ycee
need you, fireboy
energy, fireboy
electric, wizkid london
like i do, fireboy
king, fireboy
beautiful people, chike
forever, chike mi abaga
forgive, chike
radio, nonso amadi
out of love, chike
running, chike
soldier, chike
dkt, oxlade
duduke, simi
no crime, nonso amadi
wings, praiz mi abaga
mi casa su casa, korede bello
do not disturb, omah lay
bad influence, omah lay
killa, teyana taylor davido
23, burna boy
my oasis, sam smith burna boy
bank on it, burna boy
tempted to steal, kizz daniel
real life, burna boy stormzy
free mind, tems
the key, tems
higher, tems
no longer beneficial, simi
damages, tems
interference, tems
god only knows, fireboy
bites the dust, simi adekunle gold
pieces of me, wizkid ella mai
police, joeboy
ride or die, basketmouth ladipoe waje
damn remix, omah lay 6lack
can't relate, omah lay
ditr, ayra starr
tattoo, fireboy
airplane mode, fireboy
away, ayra starr
mystery girl, johnny drille
20 10 20 wahala dey, chike
good boy, blaqbonez ckay boj
dimension, jae5 rema skepta
these days, tems
were, teni
forever, gyakie omah lay
obiageri, the cavemen
running to you, chike simi
looku looku, tems
maja, teni
bad dancer, johnny drille
comforter reimagined, angeloh
peteru, greatman takit
got this, limoblaze
understand, omah lay
*** iris, greatman takit
satisfy, limoblaze sal ly
blessed reimagined, limoblaze
dorime, teni
early momo, vector goodgirl la
sinner, adekunle gold
beggie beggie, ayra starr ckay
peace, mannywellz tems
ajibole, protek illasheva marizu
ella, yemi alade
adua, liya
tales by moonlight, tiwa savage amaarae
work fada, tiwa savage nas
need me, gyakie
spunk, wurld
tonight, limoblaze sam rivera
reason you, rema
operation, winny
kiss me, winny
ghetto feels, winny
don't leave, winny
people remix, libianca omah lay
chop & slide, victony
---
CHH High
walk, hulvey lecrae
graves, kb brandon lake
civil disobedience, datin dax hamma
still in america, lecrae
misconceptions 4, lecrae
good lord, lecrae
speed racer, 1k phew aha gazelle
protect my peace, lecrae
amen again, 1k phew lecrae trip lee
wrist, canon poetics
blockhead, lecrae 1k phew
amen, lecrae 1k phew
king jesus, kb nobigdyl
97, jon keith
right out the gate, trip lee
kids, whatuprg
any attack, lecrae 1k phew
respect my team, tedashii
tarention, bumps inf
worship in the moshpit, kb
on point, steven malcolm kb
falling?, andy mineo
been about it, andy mineo lecrae
you know the drill, andy mineo
it could be worse, andy mineo
go off, canon lucious
hot boy, steven malcolm
look at me now, derek minor
the drop intro, lecrae
bow out, mali music
cole intro, aaron cole th3 saga
intro menace movement, datin
recaptured, flame
trigga, brvdonp mission
thrills, gawvi
weight music, kb
back then, 1k phew
believe, lecrae
more, lecrae
clear the air, christon gray
don't waste your life, lecrae cam dwayne tryumf
going up, rpsmg mission
how we do it, canon lecrae thi'sl
hunger games, da t.r.u.t.h
in my hood, sevin
not enough, tragic hero
passing, json serge kb
sideways, kb lecrae
yet, lecrae zaytoven
can't tell me nothing, aaron cole
facts, lecrae
stop me, christon gray
too cold, trip lee
zone out, kb
eastside church boi, john givez
battle song, lecrae
forever king, tragic hero
my year, aaron cole
mixed signals, da t.r.u.t.h
beyond belief, 116 clique
